question,label
恒大城所在楼盘项目土地多少年后到期?,3
李子期还有多少钱没还,0
R47432111#101几个预售许可证？,1
阳光小区开盘时间,4
该54020201122789003211的母公司是谁,1
澳洲阳光小区所在楼盘项目外销面积是多少?,3
361002199007109225的合约编号是啥,0
5110000036925134038所持信用卡最大多少,0
54020201122789003211的小区使用年限,1
科达科技行业是啥,2
梵天管理法人代表,2
厦门中禾在哪,2
科达科技地理信息,2
310107196202013898什么学历,0
企业编号A8329374620000036的公司地理信息,2
54020201122789003211的关联楼盘名称是什么,1
R47432111#101的合作楼盘是什么,1
企业编号R827392762312345#1的公司规模有多大,2
泰禾中央广场楼盘房屋在哪个国家?,3
361002199007109225的房屋面积,0
恒大都汇华庭开盘时间,4
李子期这个月的最小逾期了多少天,0
置地广场所在楼盘项目采用什么建筑结构?,3
R457392762631111#301合作协议的合作项目的约定存贷比是多少,1
361002199007109225的贷款逾期天数是多少,0
冶央公园的用途？,4
320113198607065088最近tk6账户流入交易来自那些人,0
361002199007109225的新客户号是什么,0
4112656459232658623的合约编号,0
李子期这个月的最大逾期了多少天,0
R47432111#101的担保率是多少,1
佳兆业楼盘房屋在城里还是乡下?,3
企业编号R827392762312345#1的公司是不是集团公司,2
泰禾中央广场所在楼盘项目建筑结构是什么?,3
R457392762631111#301合作协议是哪个分行的,1
361002199007109225做的什么贷款,0
54020201122789003211合作协议的合作项目的资源项编号是什么,1
科达科技的合作协议,2
企业编号A8329374620000036的公司所属区域,2
李子期的房屋是否临街,0
R457392762631111#301的修建面积是多大,1
苏州华一地理信息,2
李子期的最小借款金额,0
时代天街的开发企业是上市公司吗,4
R457392762631111#301合作协议的合作项目的保证金存款最高限额是多少,1
54020201122789003211的合作期限有多长,1
企业编号R827392762312345#1的公司是不是上市公司,2
泰禾中央广场所在楼盘项目土地多少年后到期?,3
4112656459232658623的最小担保物价值,0
置地广场所在楼盘项目建筑结构是什么?,3
R457392762631111#301合作协议的合作项目的合作项目类型是什么,1
54020201122789003211合作协议的合作项目的应缴存保证金是多少,1
310107196202013898的房屋价值,0
恒大城所在楼盘项目是什么建筑形式?,3
企业编号R45#3的公司投资了哪些楼盘项目,2
置地广场所在楼盘项目建筑形式是什么?,3
企业编号A8329374620000036的公司有上市吗,2
361002199007109225这个月逾期金额是多少,0
张鑫宇信用卡授信总额度多少,0
企业编号5452612918786270的公司法人代表编号是啥,2
361002199007109225的房屋是哪个公司开发的,0
世纪出版社投资的楼盘,2
310107196202013898的工作单位,0
54020201122789003211产生了多少笔个人贷款,1
310107196202013898的扣款方式是啥,0
310107196202013898的最大实还总额,0
4112656459232658623的贷款余额是多少,0
泰禾中央广场所在楼盘项目建筑形式是什么?,3
恒大未来城楼盘有多少间房?,3
张鑫宇的开户日期是什么,0
310107196202013898的拖欠了多少本金,0
李子期的房屋楼盘类别,0
54020201122789003211关联的个人贷款节点最大贷款利率是多少,1
R457392762631111#301的保证状态是什么,1
佳兆业盐田城市广场所在楼盘项目外销面积是多少?,3
54020201122789003211合作协议合作的企业所属行业是什么,1
5110000036925134038贷款目的是啥,0
该R457392762631111#301下所有房贷中，最大贷款利率是多少,1
李子期做什么职业,0
R47432111#101合作协议合作的企业是什么时候成立的,1
企业编号5452612918786270的公司多大规模,2
企业编号R45#3的公司法人代表是谁,2
310107196202013898这个月的最小逾期了多少天,0
厦门中禾规模有多大,2
中粮祥云国际社区有办房产证吗？,4
中央广场所在楼盘项目土地年限是几年?,3
澳洲阳光小区所在楼盘项目内销面积有多大?,3
科达科技员工平均月薪是多少,2
5110000036925134038的历史最大存款余额,0
361002199007109225的房屋价值,0
恒大未来城所在楼盘项目建筑结构怎么设计的?,3
54020201122789003211合作协议合作的企业有多少员工,1
企业编号A8329374620000036278的公司在哪个地区,2
恒大城所在楼盘项目建筑结构怎么设计的?,3
佳兆业盐田城市广场所在楼盘项目土地多少年后到期?,3
R47432111#101合作协议的合作项目的资源项状态是怎么样,1
李子期tk5最大的一笔转出是多少钱,0
企业编号5452612918786270的公司所属区域,2
企业编号A8329374620000036278的公司员工平均月薪是多少,2
恒大都汇华庭开盘时间,4
澳洲阳光小区所在楼盘项目占地总面积是多少?,3
冶央公园的用途？,4
该R457392762631111#301的合作楼盘楼盘性质如何,1
4112656459232658623的最小担保金额,0
R457392762631111#301的关联楼盘名称是什么,1
310107196202013898贷款多久,0
澳洲阳光小区所在楼盘项目外销面积多少平?,3
恒大未来城所在楼盘项目总共有多少面积?,3
梵天管理的贷款合同,2
佳兆业盐田城市广场楼盘房屋城乡标志?,3
R457392762631111#301的担保合同期限有多长,1
张鑫宇的保证状态,0
R457392762631111#301合作协议合作的企业所属行业是什么,1
泰禾中央广场所在楼盘项目是什么建筑形式?,3
