sentence1,sentence2,label
没有出来填验证码的地方,收到验证码后闪退,0
l开通,受邀用户,0
定期存款银行保护协议,微众银行app里面有定期存款功能，这个适用于存款保险条例吗？,1
如果发送了借款要取消借款怎么操作,我刚弄错了，我想取消借款，怎么弄,1
怎么不邀请我操,大约要过多长时间呀,0
开通微粒带,你好可以开通微粒贷吗,1
请问为什么我点击进去后显示无法借钱呢,和qq微粒贷一样吗,0
绑定银行卡信息不匹配是怎么回事？,绑定了银行卡了，怎么还没开放,0
怎样算逾期？,怎么算是逾期,1
'客服电话号码是多少谢谢,是你们客服电话吗,0
借款多久能打电话给我,一般会在申请后多久打电话,1
借款了没有打电话跟我确认,开通需要什么,0
还款日的范围,今天是还款日，你们什么时候扣除呢,0
什么原因导致借款失败呢,我想知道借款失败的原因,1
多久能放贷,借宽多久到账,1
借款后需要多长时间电话确认,申请借款后还要等待银行电话确认？,0
我现在无法还款礼拜1还可不可以,现在不能还款吗,1
结清了征信不会有记录了吧,我12月申请的1月就已结清了，为何征信显示的3月才结清,0
绑卡老是失败 浦发的卡,绑定银行卡，对方银行处理失败,1
借了两次都失败为什么？,借款失败,1
一万利息多少,2万元存了3年的利息是多少,1
变更电话,电话预留更改,1
还是开户失败…请求未处理,我开户失败，提示身份证不存在,1
5月5日到期为什么不自动扣款,如何还款,0
我说取消借款申请,取消现在的借款申请,1
只能充值，没法提现呀？,为什么充不了钱,0
我要退出微粒贷,我之前借五百，怎么取消,0
什么时候可以在借钱啊,什么时候可以回复借款成功,0
1支持的银行卡有,微粒贷支持哪些银行,1
不是说每还一笔就会恢复额度呀,10月17日借款什么时候还,0
其实我的问题很简单，我想获得微粒贷的体验资格，可是等了很久了都没等到',借钱在哪里,0
什么时候再打电话我,一般审核要几天,0
你好，开户失败，提示我信息错误，怎么办呢,你好，你们这个可以开户吗？,0
6点后申请什么时候来电话,一般什么时候电核？,1
3000块钱10分期，一月还多少,微粒贷能分两次贷吗,0
17点已经过了、还没有扣款,为什么还没有扣款呢,1
一般凌晨几点扣款,21号还款，中午可以的么，昨天搞忘了,0
买了iphone7没发票,优惠活动,0
怎么我找不到定期存款入口,定期存款和实体银行定期存款一样吗,0
怎么注销账号,我要注销,1
